//X Y Z C2M_signed_distances[<5] R G B
0.28194442 0.02584024 0.01724704 0.002676 255 172 51
0.28164554 0.02814653 0.01754945 0.002843 255 172 51
0.28176183 0.02798520 0.01932479 0.002982 255 172 51
0.28126940 0.02791798 0.01618679 0.002372 255 172 51
0.28168133 0.02890551 0.01836505 0.003101 255 172 51
0.28138316 0.02863120 0.01691349 0.002693 255 172 51
0.28114071 0.02640312 0.01507353 0.001918 255 172 51
0.28175390 0.02894580 0.01881831 0.003201 255 172 51
0.28125429 0.02914383 0.01755674 0.002744 255 172 51
0.28100628 0.02897508 0.01653847 0.002438 255 172 51
0.28035712 0.02814562 0.01462015 0.001481 255 172 51
0.28168872 0.02923889 0.01864783 0.003223 255 172 51
0.28152567 0.02927668 0.01901244 0.003116 255 172 51
0.28144750 0.02941310 0.01844343 0.003040 255 172 51
0.28075799 0.02879119 0.01577834 0.002130 255 172 51
0.27989024 0.02604013 0.01305863 0.000561 255 172 51
0.28075749 0.02968998 0.01840873 0.002513 255 172 51
0.28029728 0.02959537 0.01686298 0.002016 255 172 51
0.28062251 0.02924332 0.01616199 0.002152 255 172 51
0.28018710 0.02925442 0.01559889 0.001729 255 172 51
0.27946326 0.02866652 0.01249475 0.000623 255 172 51
0.27927992 0.02946741 0.01448100 0.000858 255 172 51
0.27975759 0.02820417 0.01013383 0.000721 255 172 51
0.27957395 0.02995455 0.01808409 0.001600 255 172 51
0.27950203 0.02977459 0.01586154 0.001446 255 172 51
0.27924591 0.02914662 0.01048012 0.000482 255 172 51
0.27902502 0.03005931 0.01683765 0.001246 255 172 51
0.27852505 0.03010831 0.01558327 0.000833 255 172 51
0.27977538 0.02886613 0.00945989 0.000899 255 172 51
0.27932990 0.02918948 0.00925105 0.000538 255 172 51
0.28003156 0.02864046 0.00947982 0.001083 255 172 51
0.27965137 0.02891325 0.00835425 0.000722 255 172 51
0.28005362 0.02854917 0.00926787 0.001074 255 172 51
0.28000680 0.02873326 0.00900760 0.001059 255 172 51
0.27888086 0.02920247 0.00828123 0.000072 255 172 51
0.27987283 0.02843556 0.00840025 0.000820 255 172 51
0.27938813 0.02897150 0.00744803 0.000504 255 172 51
0.27967530 0.02858781 0.00656614 0.000764 255 172 51
0.27909377 0.02894774 0.00657130 0.000311 255 172 51
0.27961421 0.02793881 0.00683088 0.000501 255 172 51
0.27807257 0.02881418 0.00667525 -0.000683 255 172 51
0.27983242 0.02787696 0.00488698 0.000847 255 172 51
0.27943695 0.02881124 0.00540854 0.000718 255 172 51
0.27884647 0.02894976 0.00503419 0.000309 255 172 51
0.27979714 0.02847385 0.00456181 0.001025 255 172 51
0.27787462 0.02896336 0.00401697 -0.000312 255 172 51
0.28011093 0.02783740 0.00294303 0.001180 255 172 51
0.27942714 0.02882289 0.00429347 0.000866 255 172 51
0.27895924 0.02895968 0.00322185 0.000609 255 172 51
0.27988979 0.02702489 0.00328294 0.000756 255 172 51
0.27974299 0.02860196 0.00323016 0.001140 255 172 51
0.27807704 0.02907618 0.00240740 0.000052 255 172 51
0.28059721 0.02613768 0.00069244 0.001171 255 172 51
0.28000864 0.02836856 0.00239585 0.001334 255 172 51
0.27878240 0.02905026 0.00161617 0.000606 255 172 51
0.27703333 0.02895292 0.00246885 -0.000653 255 172 51
0.28015456 0.02799746 0.00145055 0.001291 255 172 51
0.27962294 0.02872267 0.00195096 0.001183 255 172 51
0.27767384 0.02907283 0.00072671 -0.000199 255 172 51
0.28014752 0.02788747 -0.00013083 0.001196 255 172 51
0.27934271 0.02891316 0.00095333 0.000971 255 172 51
0.27878040 0.02903803 0.00050316 0.000597 255 172 51
0.27981898 0.02854642 0.00082473 0.001185 255 172 51
0.28082761 0.02697309 -0.00199011 0.001468 255 172 51
0.27851015 0.02897288 -0.00061839 0.000192 255 172 51
0.27941316 0.02872604 -0.00004909 0.000831 255 172 51
0.27950394 0.02841472 -0.00170995 0.000554 255 172 51
0.28154853 0.02551541 -0.00145712 0.001927 255 172 51
0.27740267 0.02909427 -0.00095502 -0.000451 255 172 51
0.28017193 0.02796657 -0.00337535 0.000880 255 172 51
0.28169063 0.02447974 -0.00091541 0.001919 255 172 51
0.28186813 0.02539825 -0.00313380 0.002179 255 172 51
0.27806282 0.02896732 -0.00207033 -0.000563 255 172 51
0.27647769 0.02896648 -0.00058465 -0.000758 255 172 51
0.27889860 0.02874362 -0.00365098 -0.000180 255 172 51
